body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
Hatchback,38197,1,Honda,Honda Brio,2013,3.94,Third Party insurance,Petrol,5,Manual,9,10,16,19.4,Others,1198,Bangalore
Hatchback,23000,2,Maruti,Maruti Baleno,2017,7.25,Comprehensive,Petrol,5,Automatic,9,16,27,19.56,Grey,1197,Bangalore
Hatchback,50000,1,Maruti,Maruti Alto K10,2013,2.4,Third Party insurance,Petrol,5,Manual,8,6,7,20.92,Red,998,Bangalore
SUV,10000,1,Renault,Renault Kiger,2022,8.35,Third Party insurance,Petrol,5,Automatic,9,17,25,19.03,Others,999,Bangalore
Hatchback,19000,1,Hyundai,Hyundai Grand i10,2019,6.95,Third Party insurance,Petrol,5,Manual,9,19,24,18.9,Blue,1197,Bangalore
SUV,14000,1,Kia,Kia Seltos,2020,17.25,Comprehensive,Petrol,5,Automatic,9,24,34,16.5,White,1353,Bangalore
Hatchback,29268,1,Hyundai,Hyundai EON,2014,3.3,Comprehensive,Petrol,5,Manual,9,9,15,21.1,White,814,Bangalore
Sedan,20000,1,Volkswagen,Volkswagen Vento,2019,9.9,Third Party insurance,Petrol,5,Automatic,9,23,28,18.19,Others,1197,Bangalore
Sedan,30000,1,Toyota,Toyota Yaris,2018,7.5,Third Party insurance,Petrol,5,Manual,9,18,26,17.1,Others,1496,Bangalore
Hatchback,64374,1,Honda,Honda Jazz,2018,7.55,Not Available,Petrol,5,Automatic,9,13,22,19.095,Grey,1199,Bangalore
SUV,30000,1,MG,MG Hector,2021,17.5,Third Party insurance,Diesel,5,Manual,9,22,31,17.41,Others,1956,Bangalore
SUV,7100,1,Hyundai,Hyundai Alcazar,2022,20.83,Comprehensive,Petrol,6,Automatic,9,28,32,14.2,White,1999,Bangalore
Hatchback,43679,1,Hyundai,Hyundai i10,2010,2.71,Comprehensive,Petrol,5,Manual,9,7,10,19.81,Silver,1086,Bangalore
SUV,40000,1,Hyundai,Hyundai Creta,2018,12.8,Third Party insurance,Petrol,5,Automatic,9,27,30,14.8,Others,1591,Bangalore
Hatchback,40562,1,Hyundai,Hyundai i20,2012,4.36,Third Party insurance,Diesel,5,Manual,9,8,11,22.54,Red,1396,Bangalore
SUV,26500,2,Hyundai,Hyundai Creta,2021,16.75,Comprehensive,Petrol,5,Automatic,9,26,26,19.095,White,1397,Bangalore
SUV,20000,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,Petrol,5,Automatic,9,20,31,18.15,Others,998,Bangalore
SUV,58600,1,Mahindra,Mahindra XUV500,2016,13.5,Third Party insurance,Diesel,7,Automatic,9,23,28,19.095,Silver,2179,Bangalore
SUV,42050,1,Volkswagen,Volkswagen T-Roc,2020,22.25,Comprehensive,Petrol,5,Automatic,9,27,37,18.4,White,1498,Bangalore
Hatchback,65017,1,Maruti,Maruti Celerio,2015,4.75,Not Available,Petrol,5,Automatic,8,10,13,23.1,White,998,Bangalore
Sedan,80000,2,BMW,BMW 3 Series,2008,6.0,Third Party insurance,Diesel,5,Automatic,9,20,25,13.2,Others,1995,Bangalore
SUV,30000,1,Jeep,Jeep Compass,2021,24.5,Third Party insurance,Petrol,5,Automatic,9,25,38,14.1,Others,1368,Bangalore
SUV,20000,1,Kia,Kia Seltos,2020,16.25,Third Party insurance,Petrol,5,Automatic,9,24,34,16.5,Others,1353,Bangalore
